"Year","Median.Score","Count"
"1971",190,1
"1972",222,3
"1973",184,4
"1974",219,6
"1975",266,17
"1976",211.5,6
"1977",173.5,6
"1978",205.5,10
"1979",194,25
"1980",204,21
"1981",210,27
"1982",226.5,32
"1983",213.5,64
"1984",200,46
"1985",209.5,62
"1986",198,59
"1987",231,74
"1988",221,61
"1989",226,53
"1990",212,59
"1991",223,37
"1992",207,84
"1993",214,77
"1994",224.5,94
"1995",235,59
"1996",228,123
"1997",228,107
"1998",240.5,106
"1999",231,145
"2000",231,127
"2001",235.5,120
"2002",245,137
"2003",228,141
"2004",238.5,122
"2005",250,100
"2006",235,154
"2007",243,183
"2008",238.5,116
"2009",249,143
"2010",238.5,140
"2011",244.5,140
"2012",245.5,84
"2013",245.5,124
"2014",262,118
"2015",273,141
"2016",265,91
"2017",270,68
